7:616,302,58,61,8,650,15,29,518,1511
18:17,8,518,508,364,32,650,76,1382,1254
19:
36:17,32,1023,363,354,616,1050,518,61,1987
37:103,1126,1987,15,65,61,17,542,402,8
41:17,1405,616,902,15,508,542,402,61,1511
42:518,17,1405,61,542,508,787,58,564,2193
43:17,1535,542,518,245,1023,103,363,226,508
44:302,616,861,1196,61,15,542,564,1403,356
45:76,347,32,61,616,1987,1804,356,17,15
46:61,616,508,245,15,1987,650,58,8,76
59:32,15,542,402,616,508,58,654,61,101
60:302,58,616,15,554,29,650,1196,84,861
69:61,402,32,364,58,564,508,787,1987,1196
70:302,301,354,654,76,650,84,8,616,518
94:65,119,1405,17,616,1126,32,353,1403,564
106:32,1511,61,1578,15,736,508,94,554,84
115:518,58,61,94,363,402,15,787,364,902
116:508,226,1790,719,698,238,1050,1023,70,94
142:61,32,58,364,8,356,322,554,29,861
143:483,394,3231,116359,16703,83821,95698,20440,9451,11893
148:17,1023,70,32,15,542,616,94,654,787
150:17,564,302,61,654,15,8,650,861,32
156:542,2193,61,32,58,616,8,94,1403,402
161:616,542,15,32,564,245,787,1405,84,114
171:61,302,15,84,554,1102,101,32,8,518
172:654,861,58,542,554,32,61,238,356,1511
174:8,518,899,1023,11194,431,245,296,1208,483
177:542,17,58,654,15,616,61,554,32,650
196:616,61,15,1196,76,564,32,542,245,650
202:542,15,58,1511,302,1535,245,32,8,554
211:103,1131,564,8,311,17,76,2193,1508,508
217:518,1405,103,245,17,402,656,131,999,1382
220:10178,186,46421,22713,88939,4032,40356,1342,7649,3704
223:518,564,58,616,654,1196,1511,322,94,103
224:353,4797,245,17,8,1332,518,1951,1043,94
225:15,61,616,542,302,564,364,32,518,8
228:302,542,17,58,616,787,564,654,15,650
229:15,61,32,787,1511,58,363,101,518,245
231:32,542,61,15,58,364,1196,302,363,518
232:29848,85366,107510,41798,63448,81992,86134,113712,60930,6476
238:441,4513,3618,1744,13016,4421,1256,11260,9055,3976
241:58,616,61,650,1196,542,15,564,861,518
245:16786,262,81,780,5767,650,3137,508,3939,358
249:654,17,94,15,61,542,518,103,65,564
250:616,542,245,402,518,787,1511,58,302,1578
253:3107,6434,1527,189,3172,710,508,6266,4825,17
257:17,542,61,62,1511,15,1196,554,32,861
272:58,654,1102,8,616,518,76,29,101,564
273:17,654,302,650,61,245,322,101,554,787
288:17,1196,58,650,15,238,616,62,1086,1511
290:1382,226,76,17,780,94,81,1535,834,238
291:17,518,84,654,508,58,902,1405,114,542
292:61,58,616,542,654,1403,94,1511,289,32
294:17,15,8,508,542,302,32,787,6,363
328:654,736,302,84,616,1102,58,301,101,162
331:616,17,15,654,58,302,162,542,554,861
345:1754,77581,385,805,16881,120518,62840,83173,80736,45975
361:58,616,518,650,787,61,15,8,32,554
376:302,58,29,17,285,6,1476,616,84,861
384:542,17,302,61,1196,15,564,364,1332,616
401:616,61,32,58,508,542,15,245,94,354
402:302,542,654,61,1511,32,15,8,861,289
410:984,1147,8860,9874,760,5557,135,574,76,1326
448:61,245,654,8,616,15,58,302,322,564
449:402,1535,15,32,17,1405,787,654,518,103
450:1511,15,302,1403,654,245,94,76,103,363
452:13523,17,5869,302,32,780,542,508,1508,616
476:245,17,1405,518,15,2200,899,65,1023,94
488:17,1196,542,61,787,58,402,508,616,518
490:17,61,1403,15,302,402,238,32,3101,554
494:17,58,542,616,518,654,1196,8,15,564
500:17,518,76,138,564,3448,650,776,302,364
514:17,58,62,1196,650,302,61,76,564,616
525:84,245,508,616,518,61,564,15,542,32
535:17,518,1102,354,861,542,101,787,32,508
536:616,302,61,542,518,32,654,15,650,58
538:616,61,32,58,15,302,245,999,654,508
539:17,542,58,518,15,61,1196,508,1403,32
564:32,15,554,61,289,564,650,84,518,76
582:616,15,518,861,1403,4904,564,1196,787,285
585:17,61,15,94,245,58,542,32,564,138
590:654,542,101,564,518,8,94,32,787,861
601:31717,75023,90819,121234,69110,90054,118676,18245,67228,94414
618:17,616,542,15,654,787,302,138,554,32
624:564,8,101,654,17,518,542,236,813,245
627:4671,9594,7334,5512,11539,1077,19731,7088,48524,19207
628:2813,848,52495,3960,86737,422,12874,9902,1412,563
632:81,931,508,5767,2967,226,564,353,1382,1884
633:15,61,518,1511,302,1196,902,58,32,564
634:508,70,94,616,226,17,58,8,650,902
646:546,1995,17,654,58,616,302,1200,1535,76
666:10981,18920,3034,1337,11590,911,8772,25145,6951,39399
667:17,616,542,518,58,245,15,364,61,302
669:1803,10493,11470,518,4394,564,11984,5614,12962,721
678:654,58,302,17,15,8,101,542,518,32
680:654,58,17,61,616,650,1196,787,861,15
681:441,245,710,4513,4268,2139,508,8,1744,5480
682:1528,16305,7711,23294,12240,18240,698,11857,9783,14754
683:16888,97127,101630,122777,112536,78041,69187,15227,71448,103
684:984,168,8860,5480,1081,661,8733,7838,1013,135
715:4671,2543,11855,9435,8392,311,12861,8867,2215,17486
716:616,302,861,654,58,17,542,564,84,29
741:168,8733,1400,8860,984,574,1081,9417,463,760
750:61,564,32,15,1578,402,1086,787,62,322
754:616,17,542,302,58,1511,61,94,654,554
756:15,616,542,8,101,84,289,76,861,363
757:616,17,564,302,58,76,654,101,289,84
758:17,61,356,15,616,654,58,1196,302,76
763:17,15,84,8,650,554,564,29,1196,542
773:17,616,483,224,1102,861,62,58,302,8
774:1196,17,61,32,302,238,554,1511,518,564
775:542,58,15,94,1196,1511,518,564,787,245
782:518,616,103,8,131,1405,496,61,1987,245
784:17,542,508,518,94,787,302,1023,1403,736
793:542,616,564,654,61,101,1535,76,94,15
803:1119,245,891,6450,17,496,363,873,65,2789
813:61,17,616,542,654,564,302,650,364,94
815:542,61,654,15,364,1023,8,564,508,32
817:1102,58,101,289,8,29,616,94,76,138
818:984,5480,1326,72,1147,5738,760,5557,1528,463
823:94,1744,245,17,131,61,518,15,8,70
825:616,94,518,654,1403,508,542,1511,363,787
833:564,58,302,402,1196,238,508,322,8,861
835:542,616,15,518,61,1511,902,650,101,58
838:8066,12861,862,17,219,131,4671,245,19152,8392
844:58,354,518,8,76,554,94,787,736,15
850:866,17,654,546,84,58,70,76,354,29
856:364,999,1140,103,486,4904,1535,3101,194,3313
857:302,518,15,61,289,542,101,94,8,861
874:518,364,787,302,4967,508,58,76,119,999
891:17,361,654,29,302,8,354,84,58,301
899:17,15,61,32,616,654,363,518,8,542
900:17,398,2447,24211,322,542,224,1245,650,62
911:76,564,8,616,70,363,226,15,302,518
918:17,58,302,654,8,518,542,616,84,1023
925:17,616,654,84,58,302,518,29,76,564
926:58,542,302,787,354,8,84,564,4904,554
937:245,518,616,1405,542,61,58,32,654,564
949:
964:2403,3207,947,94,5117,65,970,4268,1126,353
970:14636,8,2656,518,4300,656,84,2031,9093,36227
977:17,61,650,518,15,1403,787,3144,364,508
981:1002,4513,245,2715,508,3618,1410,1744,3506,710
982:17,2162,875,245,354,84,496,736,616,1023
984:616,32,15,564,245,61,17,654,94,1196
992:8,65,363,542,508,245,1410,15,17,2200
993:654,616,29,84,76,354,1102,518,564,58
998:616,17,650,542,787,15,364,32,61,554
1000:58,542,17,61,356,1196,518,8,4904,101
1007:17,654,1196,29,542,554,15,32,224,1245
1027:168,661,801,9874,3601,1528,1400,5557,2103,1326
1028:17,15,302,61,542,58,616,32,1403,518
1044:17,302,58,84,616,654,101,62,8,787
1045:17,58,542,518,61,289,564,8,1196,101
1049:76,2139,17,654,564,245,508,1987,616,4880
1068:17,224,3506,1002,616,441,1405,2139,225,508
1069:542,61,32,554,1511,1403,787,101,1196,861
1070:616,17,15,542,32,58,518,564,861,508
1082:15,1196,61,32,542,322,84,787,3101,101
1083:4542,32,5581,2908,3304,21899,394,62335,449,1109
1088:17,542,61,656,1405,616,15,564,508,364
1094:61,616,787,58,363,32,1511,285,508,29
1116:302,616,58,654,84,8,564,70,32,61
1121:17,654,1578,84,289,1140,1102,1086,1348,568
1125:61,542,94,103,787,363,1403,58,616,364
1127:518,17,15,542,103,61,245,58,402,616
1132:17,15,787,564,654,650,1023,542,58,94
1133:15,61,32,1511,402,650,508,103,1535,518
1140:58,302,616,61,32,1511,1578,356,787,542
1141:787,4671,14259,17,311,9594,103,1119,327,10071
1148:70,17,654,302,736,3599,76,1109,542,2946
1153:17,616,861,58,508,238,1511,787,542,61
1163:
1166:518,61,15,103,4268,131,32,1126,5117,94
1172:58,17,364,302,787,654,15,518,1196,61
1192:17,616,542,302,58,650,61,564,8,1196
1204:302,654,616,15,17,94,58,61,101,245
1208:17,654,15,616,58,285,29,61,1196,245
1209:76,17,564,302,719,899,94,224,1023,5567
1234:168,984,574,661,719,2103,135,8860,1400,5557
1236:17,76,1987,302,616,32,61,84,29,1410
1245:1187,302,84,654,8,58,518,76,354,891
1263:17,58,32,861,302,542,1196,650,787,285
1267:32,616,542,58,902,654,15,486,101,518
1269:4755,3107,1352,2880,6434,5624,8848,11725,189,12990
1288:17,1017,2200,2609,654,518,999,8588,10560,101
1295:616,542,861,1196,15,61,554,32,101,322
1296:17,654,650,58,29,542,15,518,61,564
1302:17,302,15,654,616,238,542,1196,861,650
1305:302,17,84,58,8,322,902,29,650,15
1342:17,518,84,301,654,554,546,650,302,1102
1382:1382,17,564,508,518,616,654,245,32,2200
1389:75115,4245,1305,61636,40853,586,109872,120740,94835,30727
1391:26376,32,6,17,29,787,1555,94,8,616
1397:81,1749,140,986,226,2967,2379,7211,500,8283
1402:302,616,58,554,650,289,1196,1511,101,94
1405:92558,96890,4697,24722
1407:17,302,616,518,58,542,8,902,654,486
1408:17,518,302,654,616,245,354,94,787,564
1409:616,61,354,787,8,542,508,101,564,1023
1412:302,58,17,654,29,1102,84,70,76,117
1413:15,542,32,861,1403,1511,364,787,508,999
1418:61,654,542,15,32,94,554,285,364,787
1419:4755,3172,4825,1712,6434,12990,6266,8848,19596,7880
1420:616,518,654,354,302,58,8,61,245,15
1427:17,61,518,1196,1403,787,238,15,999,564
1430:58,654,17,542,302,8,364,787,162,1196
1431:58,542,616,15,654,364,554,285,32,84
1435:61,1196,616,302,364,564,486,58,94,1086
1437:542,1535,58,302,698,17,787,564,654,616
1441:6559,3307,2548,6745,245,840,2715,226,535,931
1447:518,17,15,364,8,1987,4967,1535,564,654
1448:76,327,17,81,542,61,245,1109,654,508
1457:17,302,616,650,58,15,542,654,364,564
1458:15,402,17,616,999,496,2200,1023,58,508
1469:616,302,61,1196,542,58,518,32,861,564
1477:245,17,654,94,15,518,32,787,2955,542
1486:168,984,719,76,8783,8733,801,574,5357,4394
1490:17,76,302,654,616,866,15,58,902,119
1491:616,654,542,58,302,61,861,650,518,6
1500:61,518,1511,15,402,58,245,103,32,1403
1503:58,654,8,508,616,542,650,554,1511,101
1517:21836,49009,44051,41438,37887,4755,34302,10316,16145,35340
1518:542,1126,508,518,32,402,8,787,902,17
1535:302,1196,542,61,58,236,787,245,1578,654
1551:616,61,650,542,1196,32,1535,554,15,238
1552:29723,19245,1402,8892,29,70,1099,17,650,15
1553:17,654,58,61,542,302,999,1196,616,518
1559:616,302,654,650,61,787,861,1196,322,76
1560:518,61,15,17,103,402,1511,94,564,58
1561:17,542,1511,616,61,15,508,58,1578,3101
1562:654,616,650,542,101,32,15,29,1102,289
1569:986,81,226,327,780,58,698,500,302,5767
1570:17,58,302,654,6,518,245,616,787,15
1588:17,245,542,224,15,901,262,1119,1187,32
1589:15,616,654,61,518,508,1023,58,542,32
1591:69776,62108
1601:17,616,508,32,302,58,76,8,245,564
1602:1987,15,518,61,787,17,1511,32,616,131
1629:518,61,17,15,902,1196,616,654,1511,94
1634:9662,2265,6901,7037,535,5514,2618,8,8337,2901
1642:542,8,402,58,32,518,654,1511,787,1403
1653:17,616,58,650,564,302,542,76,61,8
